"method","N","M","P","execution_time","work_performed"
"dijkstra","43","83","1","3.6049295480957033","4.177204501953125"
"dijkstra_nospeedup","154","329","1","295.67680562890627","318.4356366464844"
"dijkstra_nospeedup","152","380","1","280.958653765625","301.0641699824219"
"dijkstra_nospeedup","50","98","1","7.1979033071289065","8.072042328125"
"dijkstra_nospeedup","148","316","1","214.48490132421875","228.57094186132812"
"dijkstra_nospeedup","106","217","1","82.29586741210937","89.61858176757812"
"dijkstra_nospeedup","164","361","1","296.86834504492185","315.21994191015625"
"dijkstra_nospeedup","66","163","1","18.98598302441406","21.02105667578125"
"dijkstra_nospeedup","42","76","1","4.058019040527344","4.5814700859375"
"dijkstra_nospeedup","103","194","1","81.7147149609375","89.24488241699218"
"dijkstra_nospeedup","51","109","1","9.851206540527343","11.144561866210937"
"dijkstra_nospeedup","32","58","1","1.8070206442871093","2.0973777907714846"
"dijkstra_nospeedup","73","134","1","26.23536028125","28.993566459960938"
"dijkstra_nospeedup","130","277","1","158.88588729174805","172.08043623535156"
"dijkstra_nospeedup","101","189","1","77.78245890625","85.0551004921875"
"dijkstra_nospeedup","26","47","1","0.9677983139648437","1.1371980881347656"
"dijkstra_nospeedup","37","68","1","2.49789203125","2.863069914794922"
"dijkstra_nospeedup","159","348","1","265.648542828125","282.36283382421874"
"dijkstra_nospeedup","105","310","1","71.54979395703126","76.85851240625"
"dijkstra_nospeedup","28","50","1","1.4002890102539063","1.6207840178222657"
"dijkstra_nospeedup","110","279","1","99.45745390429687","108.04545870898437"
"dijkstra_nospeedup","89","184","1","44.52133638671875","48.408157817382815"
"dijkstra_nospeedup","155","338","1","249.44190409179689","265.44717827929685"
"dijkstra_nospeedup","118","222","1","121.15421493164062","131.568289765625"
"dijkstra_nospeedup","103","194","1","81.71562715332031","89.23907004980468"
"dijkstra_nospeedup","40","73","1","3.499481210449219","4.019842141113282"
"dijkstra_nospeedup","101","297","1","63.39496516113281","68.20151983300781"
"dijkstra_nospeedup","114","338","1","92.29372086230468","98.85324700097657"
"dijkstra_nospeedup","138","298","1","198.54470448242188","213.80054781640624"
"dijkstra_nospeedup","52","103","1","8.00345978466797","8.955893036132812"
"dijkstra_nospeedup","70","141","1","21.737816967773437","23.96461943847656"
"dijkstra_nospeedup","51","109","1","9.848446426757812","11.144541169921874"
"dijkstra_nospeedup","94","243","1","57.60567009472656","62.811510729492184"
"dijkstra_nospeedup","105","197","1","86.2616571669922","94.12788045898438"
"dijkstra_nospeedup","137","293","1","166.613850171875","178.03282049023437"
"dijkstra_nospeedup","165","363","1","301.0507786972656","319.6124750390625"
"dijkstra_nospeedup","65","161","1","18.218883455078124","20.19204080371094"
"dijkstra_nospeedup","141","300","1","179.84247553320313","191.97292607226564"
"dijkstra_nospeedup","192","480","1","560.0683982890625","595.1449671367187"
"dijkstra_nospeedup","47","118","1","6.795109791503906","7.628714938476563"
"dijkstra_nospeedup","35","74","1","3.0210630131835936","3.4691379672851563"
"dijkstra_nospeedup","76","216","1","27.0426305703125","29.439219548828124"
"dijkstra_nospeedup","24","42","1","0.7287908842773437","0.8473038898925781"
"dijkstra_nospeedup","67","121","1","18.956234055664062","21.00908869238281"
"dijkstra_nospeedup","168","416","1","380.09822637890625","405.93742529101564"
"dijkstra_nospeedup","58","162","1","11.923254408203125","13.13849779736328"
"dijkstra_nospeedup","124","264","1","121.41380773046875","130.2118025605469"
"dijkstra_nospeedup","145","361","1","240.23451145898437","257.783176796875"
